ID,Type,Name,Documentation,Specialization
087e58e5-9a7e-4982-bbca-c8475d5a3a8a,ApplicationService,*data_grabber AUS WineDirect Membership,b'',b''
166c6667-598b-4980-8c4e-3ca9d2ef1f90,ApplicationService,*data_grabber Concerto Documents,b'',b''
21b31d4f-0132-46c4-b87f-0f15d05ca108,ApplicationService,*data_grabber Salesforce EDV DeclarationFabrications,b'',b''
49fcbe83-b601-458d-a3cd-03df447cf713,ApplicationService,*data_grabber Salesforce EDV DeclarationRecoltes,b'',b''
4c963f1e-c118-43e3-8ddf-d6c9bc54f375,ApplicationService,udg.engage_sales.contacts,b'',b''
505ff4d9-4d77-4f8d-91de-71d497c69130,ApplicationService,*data_grabber DatalakeMarketingSales Contact,b'',b''
6b0461e4-783c-47d6-9710-0c3cf8c7265e,ApplicationService,udg.ecommerce_uk.products,b'',b''
702d81c9-8cc0-4975-93c9-d25234345386,ApplicationService,*data_grabber AUS WineDirect Order,b'',b''
9e4d07cd-8f19-418f-8f79-da4c2d3daef9,ApplicationService,*data_grabber AusImpos Order,b'',b''
a069a991-a545-457c-b555-25019b7a252a,ApplicationService,data_grabber Salesforce B2C IERs,b'',b''
ac5080da-d323-4bad-95ca-eae0f6ca5b87,ApplicationService,UDG SAP EDV Bon Achat,b'collecte les fichiers bona01* du r\xc3\xa9pertoire SAP EDV (ou \xc3\xa9quivalent)\r\nrenvoie chaque ligne (body.fullrow) dans un postEvent dans eda.salesforce_edv.deliveries\r\n',b''
be5f2e23-98fc-45a9-938d-3d61b665ce64,ApplicationService,*data_grabber SAP EDV Achat sur Place,b'',b''
bf36bd79-2e82-4570-ad9f-6a85f84395e2,ApplicationService,*data_grabber AusImpos Contact,b'',b''
f367ee5f-6ce6-44be-ba56-93874c770f8c,ApplicationService,*data_grabber Salesforce EDV DeclarationAffectations,b'',b''
ff1cf94b-ff4d-41f9-8f62-6fe617f01d92,ApplicationService,*data_grabber AUS WineDirect Contact,b'',b''
id-1e374e26f35c4feab46ea32e31d51d98,ApplicationService,udg.ecommerce_fr.products,b'',b''
id-23380fcf2888436bb15e9856ea4d0ad1,ApplicationService,udg.ecommerce_de.products,b'',b''
,,,,
03d82387-1314-4758-ac3c-306343d4c0d4,ApplicationComponent,GrApp Champagne,b'',b''
