ID,Type,Name,Documentation,Specialization
,ApplicationInterface,anaplan_datahub.getcloudstoragebucketsobject,,
,ApplicationInterface,anaplan_datahub.getcloudstoragebucketsobjects,,
,ApplicationInterface,anaplan_datahub.postcloudstoragebucketsobject,,
,ApplicationInterface,anaplan_datahub.postcloudstoragebucketsobjectsactions,,
,ApplicationInterface,b2c.postsalesorder,,
,ApplicationInterface,b2c.postsalesreturn,,
,ApplicationInterface,bnic.getcertificat,,
,ApplicationInterface,bnic.getcertificats,,
,ApplicationInterface,concur_ap.postvendor,,
,ApplicationInterface,controle_liberatoire.posttrajet,,
,ApplicationInterface,degustation.postechantillon,,
,ApplicationInterface,degustation.postseance,,
,ApplicationInterface,ecommerce.postinventories,,
,ApplicationInterface,ecommerce.putorder,,
,ApplicationInterface,ecommerce.putreturn,,
,ApplicationInterface,ecustoms.postshipment,,
,ApplicationInterface,einvoicing.postcustomerinvoice,,
,ApplicationInterface,engage_backend.getemailresults,,
,ApplicationInterface,engage_sales.postproduct,,
,ApplicationInterface,engage_sales.postproductsprices,,
,ApplicationInterface,finance.postaccountingdocument,,
,ApplicationInterface,gan_integrity.postcompany,,
,ApplicationInterface,gan_integrity.postperson,,
,ApplicationInterface,gcp.deletecloudstoragebucketsobject,,
,ApplicationInterface,gcp.getcloudstoragebucketsobject,,
,ApplicationInterface,gcp.getcloudstoragebucketsobjects,,
,ApplicationInterface,gcp.postcloudcomposerdag,,
,ApplicationInterface,gcp.postcloudstoragebucketsobject,,
,ApplicationInterface,gcp_similarweb.postnotification,,
,ApplicationInterface,hennessy_edv.postbusinesspartnersrole,,
,ApplicationInterface,hennessy_edv.postcommandeachat,,
,ApplicationInterface,hennessy_edv.postcompterenduproduction,,
,ApplicationInterface,hennessy_edv.postcontratbonnefin,,
,ApplicationInterface,hennessy_edv.putoperationsordonnancement,,
,ApplicationInterface,imhprovement.postincident,,
,ApplicationInterface,imhprovement.postinspectionlot,,
,ApplicationInterface,imhprovement.postmaterial,,
,ApplicationInterface,imhprovement.postvendor,,
,ApplicationInterface,it.postschedule,,
,ApplicationInterface,livstick.postnotification,,
,ApplicationInterface,logistics.postorder,,
,ApplicationInterface,logistics.postreturn,,
,ApplicationInterface,logistics_execution.postoutbounddeliveriespicking,,
,ApplicationInterface,maintenance.postconfirmation,,
,ApplicationInterface,maintenance.postequipment,,
,ApplicationInterface,maintenance.postworkorder,,
,ApplicationInterface,maintenance.putequipment,,
,ApplicationInterface,mes_bernon.postanalyses,,
,ApplicationInterface,mes_comete.deletematerial,,
,ApplicationInterface,mes_comete.deleteproductionorder,,
,ApplicationInterface,mes_comete.postmaterial,,
,ApplicationInterface,mes_comete.postproductionorder,,
,ApplicationInterface,mes_comete.postproductionordersinstructions,,
,ApplicationInterface,mes_dego_mf_mc.deletematerial,,
,ApplicationInterface,mes_dego_mf_mc.deleteproductionorder,,
,ApplicationInterface,mes_dego_mf_mc.postmaterial,,
,ApplicationInterface,mes_dego_mf_mc.postproductionorder,,
,ApplicationInterface,mes_dego_mf_mc.postproductionordersinstructions,,
,ApplicationInterface,mes_moet.deletemouvement,,
,ApplicationInterface,mes_moet.postmouvement,,
,ApplicationInterface,mes_moet.putmouvement,,
,ApplicationInterface,mes_montaigu.postanalyses,,
,ApplicationInterface,mes_poignettage.deletematerial,,
,ApplicationInterface,mes_poignettage.deleteproductionorder,,
,ApplicationInterface,mes_poignettage.postmaterial,,
,ApplicationInterface,mes_poignettage.postproductionorder,,
,ApplicationInterface,mes_poignettage.postproductionordersinstructions,,
,ApplicationInterface,mes_pont_neuf.postordrefabrication,,
,ApplicationInterface,mes_rd.postanalyses,,
,ApplicationInterface,mhdataplatform.postcloudcomposerdag,,
,ApplicationInterface,mhdataplatform.postcloudstoragebucketsobject,,
,ApplicationInterface,mhus_concierge.patchorder,,
,ApplicationInterface,mh_pay.postinvoicespaymentrequest,,
,ApplicationInterface,mh_pay.postorderspaymentrequest,,
,ApplicationInterface,mh_private.postinvoice,,
,ApplicationInterface,mh_private.postorder,,
,ApplicationInterface,pda_champagne.postgtin,,
,ApplicationInterface,pda_champagne.postmaterial,,
