API_NAME,METHOD_NAME,EDA_QUEUE_NAME,UDG_OBJECT,EVENTS,ELEMENT
anaplan_datahub,getCloudStorageBucketsObject,,,,ApplicationInterface
anaplan_datahub,getCloudStorageBucketsObjects,,,,ApplicationInterface
anaplan_datahub,postCloudStorageBucketsObject,,,,ApplicationInterface
anaplan_datahub,postCloudStorageBucketsObjectsActions,,,,ApplicationInterface
b2c,postSalesOrder,,,,ApplicationInterface
b2c,postSalesReturn,,,,ApplicationInterface
bnic,getCertificat,,,,ApplicationInterface
bnic,getCertificats,,,,ApplicationInterface
concur_ap,postVendor,,,,ApplicationInterface
controle_liberatoire,postAnalyses,,,,ApplicationInterface
controle_liberatoire,postCiterne,,,,ApplicationInterface
controle_liberatoire,postCompartiments,,,,ApplicationInterface
controle_liberatoire,postEta,,,,ApplicationInterface
controle_liberatoire,postTiers,,,,ApplicationInterface
controle_liberatoire,postTrajet,,,,ApplicationInterface
controle_liberatoire,putEchantillon,,,,ApplicationInterface
cuverie,postAnalyses,,,,ApplicationInterface
dam,postProduct,,,,ApplicationInterface
degustation,postEchantillon,,,,ApplicationInterface
degustation,postSeance,,,,ApplicationInterface
ecep,postNotification,,,,ApplicationInterface
ecommerce,postInventories,,,,ApplicationInterface
ecommerce,putOrder,,,,ApplicationInterface
ecommerce,putReturn,,,,ApplicationInterface
ecustoms,postShipment,,,,ApplicationInterface
eda,postEvent,,,,ApplicationInterface
einvoicing,postCustomerInvoice,,,,ApplicationInterface
engage_backend,getEmailResults,,,,ApplicationInterface
engage_sales,postProduct,,,,ApplicationInterface
engage_sales,postProductsPrices,,,,ApplicationInterface
finance,postAccountingDocument,,,,ApplicationInterface
gan_integrity,postCompany,,,,ApplicationInterface
gan_integrity,postPerson,,,,ApplicationInterface
gcp,deleteCloudStorageBucketsObject,,,,ApplicationInterface
gcp,getCloudStorageBucketsObject,,,,ApplicationInterface
gcp,getCloudStorageBucketsObjects,,,,ApplicationInterface
gcp,postCloudComposerDag,,,,ApplicationInterface
gcp,postCloudStorageBucketsObject,,,,ApplicationInterface
gcp_similarweb,postNotification,,,,ApplicationInterface
hennessy_edv,postBusinessPartnersRole,,,,ApplicationInterface
hennessy_edv,postCommandeAchat,,,,ApplicationInterface
hennessy_edv,postCompteRenduProduction,,,,ApplicationInterface
hennessy_edv,postContratBonneFin,,,,ApplicationInterface
hennessy_edv,putOperationsOrdonnancement,,,,ApplicationInterface
imhprovement,postIncident,,,,ApplicationInterface
imhprovement,postInspectionLot,,,,ApplicationInterface
imhprovement,postMaterial,,,,ApplicationInterface
imhprovement,postVendor,,,,ApplicationInterface
it,postSchedule,,,,ApplicationInterface
livstick,postNotification,,,,ApplicationInterface
logistics,postOrder,,,,ApplicationInterface
logistics,postReturn,,,,ApplicationInterface
logistics_execution,postOutboundDeliveriesPicking,,,,ApplicationInterface
maintenance,postConfirmation,,,,ApplicationInterface
maintenance,postEquipment,,,,ApplicationInterface
maintenance,postWorkOrder,,,,ApplicationInterface
maintenance,putEquipment,,,,ApplicationInterface
mes_bernon,postAnalyses,,,,ApplicationInterface
mes_comete,deleteMaterial,,,,ApplicationInterface
mes_comete,deleteProductionOrder,,,,ApplicationInterface
mes_comete,postMaterial,,,,ApplicationInterface
mes_comete,postProductionOrder,,,,ApplicationInterface
mes_comete,postProductionOrdersInstructions,,,,ApplicationInterface
mes_dego_mf_mc,deleteMaterial,,,,ApplicationInterface
mes_dego_mf_mc,deleteProductionOrder,,,,ApplicationInterface
mes_dego_mf_mc,postMaterial,,,,ApplicationInterface
mes_dego_mf_mc,postProductionOrder,,,,ApplicationInterface
mes_dego_mf_mc,postProductionOrdersInstructions,,,,ApplicationInterface
mes_moet,deleteMouvement,,,,ApplicationInterface
mes_moet,postMouvement,,,,ApplicationInterface
mes_moet,putMouvement,,,,ApplicationInterface
mes_montaigu,postAnalyses,,,,ApplicationInterface
mes_poignettage,deleteMaterial,,,,ApplicationInterface
mes_poignettage,deleteProductionOrder,,,,ApplicationInterface
mes_poignettage,postMaterial,,,,ApplicationInterface
mes_poignettage,postProductionOrder,,,,ApplicationInterface
mes_poignettage,postProductionOrdersInstructions,,,,ApplicationInterface
mes_pont_neuf,postOrdreFabrication,,,,ApplicationInterface
mes_rd,postAnalyses,,,,ApplicationInterface
mhdataplatform,postCloudComposerDag,,,,ApplicationInterface
mhdataplatform,postCloudStorageBucketsObject,,,,ApplicationInterface
mhus_concierge,patchOrder,,,,ApplicationInterface
mh_dipp,postDocument,,,,ApplicationInterface
mh_pay,postInvoicesPaymentRequest,,,,ApplicationInterface
mh_pay,postOrdersPaymentRequest,,,,ApplicationInterface
mh_private,postInvoice,,,,ApplicationInterface
mh_private,postOrder,,,,ApplicationInterface
pda_champagne,postGtin,,,,ApplicationInterface
pda_champagne,postMaterial,,,,ApplicationInterface
pda_champagne,postProductionOrder,,,,ApplicationInterface
pda_champagne,postProductionOrdersInstructions,,,,ApplicationInterface
pim,postAsset,,,,ApplicationInterface
pim,postSku,,,,ApplicationInterface
pim,putProduct,,,,ApplicationInterface
portail_partenaires,postNotification,,,,ApplicationInterface
ppp_store,postContract,,,,ApplicationInterface
ppp_store,postDiscount,,,,ApplicationInterface
ppp_store,postOrderTracking,,,,ApplicationInterface
ppp_store,postPrice,,,,ApplicationInterface
ppp_store,postProduct,,,,ApplicationInterface
ppp_store,postUpcharge,,,,ApplicationInterface
production,deleteOrdersWorksheet,,,,ApplicationInterface
production,patchOrder,,,,ApplicationInterface
production,postOrdersConfirmation,,,,ApplicationInterface
production,postOrdersMovement,,,,ApplicationInterface
production,postOrdersWorksheet,,,,ApplicationInterface
production,putOrdersWorksheet,,,,ApplicationInterface
purchases,postGtin,,,,ApplicationInterface
purchases,postOrdersConfirmations,,,,ApplicationInterface
purchases,postVendor,,,,ApplicationInterface
quality,patchNotification,,,,ApplicationInterface
quality,postNotification,,,,ApplicationInterface
quota_app,getEmployee,,,,ApplicationInterface
quota_app,getQuota,,,,ApplicationInterface
quota_app,getQuotas,,,,ApplicationInterface
quota_app,postAbandonment,,,,ApplicationInterface
quota_app,postConfirmation,,,,ApplicationInterface
quota_app,postEmployee,,,,ApplicationInterface
quota_app,postOrder,,,,ApplicationInterface
quota_app,postValidation,,,,ApplicationInterface
reflex,postInventaire,,,,ApplicationInterface
reflex,postOrdreMEC,,,,ApplicationInterface
reflex,postOrdrePEC,,,,ApplicationInterface
reflex,postOrdresMECEvenements,,,,ApplicationInterface
reflex,postOrdresPECEvenements,,,,ApplicationInterface
reflex,putOrdreMEC,,,,ApplicationInterface
sales,getPosmDfuBrands,,,,ApplicationInterface
sales,patchCustomer,,,,ApplicationInterface
sales,patchOrder,,,,ApplicationInterface
sales,postCustomer,,,,ApplicationInterface
sales,postInvoicesPayment,,,,ApplicationInterface
sales,postOrder,,,,ApplicationInterface
sales,postOrderSimulation,,,,ApplicationInterface
sales,postOrdersPayment,,,,ApplicationInterface
sales,postPosmContract,,,,ApplicationInterface
sales,postPosmOrder,,,,ApplicationInterface
sales,putEInvoice,,,,ApplicationInterface
salesforce_b2c,postCase,,,,ApplicationInterface
salesforce_edv,deleteLivraison,,,,ApplicationInterface
salesforce_edv,patchEchantillonAdministratif,,,,ApplicationInterface
salesforce_edv,postLivraison,,,,ApplicationInterface
sd_finition,postOrdreFabrication,,,,ApplicationInterface
sd_prod,postOrdrePCB,,,,ApplicationInterface
sd_prod,postOrdrePFB,,,,ApplicationInterface
sd_prod,postOrdrePRB,,,,ApplicationInterface
sd_prod,postOrdresMECAttribution,,,,ApplicationInterface
sd_prod,postOrdresPlanification,,,,ApplicationInterface
sd_prod,postPlanningEquipes,,,,ApplicationInterface
sfa,deleteJob,,,,ApplicationInterface
